School,What school are you associated with?,Bexley High School,Bishop Ready,Columbus School for Girls,Columbus Academy,East High School, St. Charles,The Wellington School,Upper Arlington,Walnut Ridge,Worthington Christian
Grade,What grade are you in?,9,10,11,12,Faculty,Parents
Gender,What is your gender?,Female,Male,Other,Prefer not to answer
Race/ethnicity,What is your race or ethnicity? Check all that apply.,African-American,Asian,Caucasian,Hispanic/Latino,Indian,Middle Eastern,Native American/Alaskan,Pacific Islander,Other
Other minority,Disabled,LGBT+,Non-citizen,No
Political affiliation,What is your political affiliation?,No Party Affiliation,Democratic Party,Green Party,Libertarian Party,Republican Party,Tea Party,Other
Family views,Do your parents generally share this affiliation?,Yes,No,One does and the other one doesn't,I don't know
Transgender bathrooms,Do you favor or oppose laws allowing transgender people to choose a bathroom based on their gender identity?,1,2,3,4,5
Gun restrictions,Do you favor greater or looser restrictions on the process of purchasing a gun?,1,2,3,4,5
Military budget,Do you favor or oppose decreasing military spending in the national budget in favor of other government programs?,1,2,3,4,5
Welfare test,Do you favor or oppose testing welfare recipients for drug use before distributing benefits?,1,2,3,4,5
Police cameras,Do you favor or oppose requiring the use of body cameras on police officers?,1,2,3,4,5
Environmental regulations,Do you favor or oppose increased environmental regulations on businesses and corporations?,1,2,3,4,5
Abortion,Are you Pro-Life or Pro-Choice on the issue of abortion legislation?,1,2,3,4,5
Welfare funding,Should the government increase or decrease funding for social welfare programs (food stamps, medicare, social security, etc.),1,2,3,4,5
Immigration,Do you favor or oppose increasing restrictions on immigration into the US?,1,2,3,4,5
Minimum wage,Should the federal government set a national minimum wage or should state governments set the minimum wage based on their own needs?,1,2,3,4,5
Black Lives Matter,Do you support the movement Black Lives Matter?,1,2,3,4,5
ISIS,Do you favor or oppose deploying more American ground troops to fight ISIS in the Middle East?,1,2,3,4,5
NATO,Given that our European allies don't pay NATO proportionally should we fulfill our promise to support them in military conflicts?,1,2,3,4,5
Fracking,Do you favor or oppose hydraulic fracturing or "fracking" as a means of increasing the production of natural gas and oil in the U.S.?,1,2,3,4,5
Marijuana,Do you favor or oppose the government prohibiting recreational marijuana?,1,2,3,4,5
Gender equality,Do you agree or disagree that men and women should have equal financial compensation in the workplace and equal obligation of citizenship such as signing up for the military draft.,1,2,3,4,5
President,Which presidential candidate do you support?,No opinion,Hillary Clinton,Gary Johnson,Jill Stein,Donald Trump
Senator,Which senatorial candidate do you support?,No opinion,Rob Portman,Ted Strickland
